time_h,time_s,radius,radius_err
0.06,216,1.057,0.251
0.25,900,1.96,0.342
1,3600,3.154,1.337
4,14400,4.557,1.732
16,57600,7.127,1.986
64,230400,10.726,3.273
256,921600,16.223,5.133
1024,3686400,27.172,6.537
